image,feature,feature_cells,true_label,ssa_votes_out_of_7,majority_agreement,agreement_band,original_label,original_probability,model,comprehensiveness_black,comprehensiveness_blur,comprehensiveness_mean,sufficiency_black,sufficiency_blur,sufficiency_mean,cited_flip_black,cited_flip_blur,cited_flip_mean,evidence_only_flip_black,evidence_only_flip_blur,evidence_only_flip_mean,control_drop_mean_black,control_drop_mean_blur,control_drop_mean_mean,control_drop_sd_black,control_drop_sd_blur,control_drop_sd_mean,control_drop_p95_black,control_drop_p95_blur,control_drop_p95_mean,control_flip_rate_black,control_flip_rate_blur,control_flip_rate_mean,n_controls_black,n_controls_blur,n_controls_mean,effect_over_control_black,effect_over_control_blur,effect_over_control_mean,faithful_over_p95_control_black,faithful_over_p95_control_blur,faithful_over_p95_control_mean
MHIST_aad.png,crypt/gland architecture,C3|D2|D3,SSA,7,7,unanimous,SSA,0.8867510557174683,vinid/plip,0.09568047523498535,0.07764792442321777,0.05256909132003784,0.5975024998188019,0.5743659138679504,0.7035336643457413,0,0,0,1,1,1,0.3159540697932243,0.24946181029081343,0.32532896995544436,0.12355638858664408,0.08088071754506497,0.07658842697298916,0.558151924610138,0.3871396526694298,0.4176905602216721,0.25,0.1,0.15,20,20,20,-0.22027359455823897,-0.17181388586759566,-0.2727598786354065,False,False,False
MHIST_aad.png,nuclear atypia,B3|C3,SSA,7,7,unanimous,SSA,0.8867510557174683,vinid/plip,0.16944319009780884,0.07114189863204956,0.08556914329528809,0.6291808187961578,0.4875905513763428,0.6383711099624634,0,0,0,1,1,1,0.22608164548873902,0.2063310593366623,0.23978234827518463,0.10990445796726514,0.07924023760253214,0.08929809616614402,0.4197344571352005,0.3371797472238541,0.3578505784273148,0.1,0.0,0.05,20,20,20,-0.05663845539093018,-0.13518916070461273,-0.15421320497989655,False,False,False
MHIST_aad.png,serration,A2|B2|B3,SSA,7,7,unanimous,SSA,0.8867510557174683,vinid/plip,0.22956359386444092,0.2123754620552063,0.28371286392211914,0.6416964083909988,0.6466059535741806,0.7215978652238846,0,0,0,1,1,1,0.22470312813917795,0.19812974333763123,0.21908470739920935,0.1083344305041222,0.10938772908320243,0.11747287740647099,0.38787481486797326,0.35585456490516665,0.3825434461236,0.08333333333333333,0.0,0.08333333333333333,12,12,12,0.004860465725262969,0.014245718717575073,0.06462815652290979,False,False,False
MHIST_aag.png,crypt/gland architecture,C2|C3|D2,HP,2,5,strong,SSA,0.7508272528648376,vinid/plip,0.08369225263595581,0.07343363761901855,0.09558171033859253,0.44233644008636475,0.34516608715057373,0.5158941000699997,0,0,0,1,1,1,0.40884752571582794,0.24906297624111176,0.3118893653154373,0.10382693558675125,0.0554143055226121,0.051896162002085945,0.5505529955029488,0.3109121188521385,0.35446626842021944,0.9,0.6,0.8,10,10,10,-0.32515527307987213,-0.1756293386220932,-0.2163076549768448,False,False,False
MHIST_aag.png,serration,C2|C3|D3,HP,2,5,strong,SSA,0.7508272528648376,vinid/plip,0.177226722240448,0.15613210201263428,0.08760756254196167,0.5466877967119217,0.4772881269454956,0.6190476715564728,0,0,0,1,1,1,0.39365287125110626,0.2269916534423828,0.31384192407131195,0.10798307846015767,0.03412173439269016,0.07179893363130846,0.4759893104434013,0.2684604078531265,0.3701568216085434,0.75,0.25,0.75,4,4,4,-0.21642614901065826,-0.07085955142974854,-0.22623436152935028,False,False,False
MHIST_aah.png,crypt/gland architecture,B3|C2|C3,HP,2,5,strong,SSA,0.9571002125740051,vinid/plip,0.1724432110786438,0.056944847106933594,0.11202031373977661,0.5891422033309937,0.6034169793128967,0.7813942581415176,0,0,0,1,1,1,0.3260236332813899,0.23391852445072597,0.3672575619485643,0.09753857490812651,0.05519282386622045,0.10054398151696259,0.46848906725645056,0.3180488765239715,0.5073750421404838,0.1111111111111111,0.0,0.16666666666666666,18,18,18,-0.1535804222027461,-0.17697367734379238,-0.2552372482087877,False,False,False
MHIST_aah.png,serration,B3|C2|C3,HP,2,5,strong,SSA,0.9571002125740051,vinid/plip,0.1724432110786438,0.056944847106933594,0.11202031373977661,0.5891422033309937,0.6034169793128967,0.7813942581415176,0,0,0,1,1,1,0.3260236332813899,0.23391852445072597,0.3672575619485643,0.09753857490812651,0.05519282386622045,0.10054398151696259,0.46848906725645056,0.3180488765239715,0.5073750421404838,0.1111111111111111,0.0,0.16666666666666666,18,18,18,-0.1535804222027461,-0.17697367734379238,-0.2552372482087877,False,False,False
MHIST_aaq.png,crypt/gland architecture,C3|D2|D3,SSA,5,5,strong,SSA,0.847420871257782,vinid/plip,0.3588753640651703,0.2731589674949646,0.3169202208518982,0.3777448236942291,0.3861400783061981,0.4881884455680847,1,0,0,1,1,1,0.33662022054195406,0.24118640571832656,0.29207049757242204,0.10534581763207135,0.09819165356753663,0.0800512807714964,0.5107388392090798,0.4386409029364586,0.42411848455667495,0.45,0.1,0.25,20,20,20,0.022255143523216225,0.03197256177663804,0.024849723279476155,False,False,False
MHIST_aaq.png,serration,A2|A3|B3,SSA,5,5,strong,SSA,0.847420871257782,vinid/plip,0.23967313766479492,0.0513608455657959,0.09654903411865234,0.737674854695797,0.7342182770371437,0.7738480791449547,0,0,0,1,1,1,0.40207825750112536,0.34157529324293134,0.37170725911855695,0.08898352651337678,0.06785477048246019,0.07544129457566877,0.5342501312494278,0.4391113221645355,0.4828804612159729,0.65,0.4,0.65,20,20,20,-0.16240511983633044,-0.29021444767713545,-0.2751582249999046,False,False,False
MHIST_aar.png,crypt/gland architecture,B1|C1|C2,HP,0,7,unanimous,SSA,0.9462271332740784,vinid/plip,0.19973677396774292,0.1601586937904358,0.21300166845321655,0.45679035782814026,0.5640510320663452,0.7370841801166534,0,0,0,1,1,1,0.2673430502414703,0.24259917736053466,0.28877235352993014,0.09728296916469166,0.07440898106776518,0.06587329594949573,0.45542474985122683,0.3527884274721146,0.38823985755443574,0.1,0.0,0.0,20,20,20,-0.0676062762737274,-0.08244048357009887,-0.07577068507671358,False,False,False
MHIST_aar.png,serration,A3|B2|B3,HP,0,7,unanimous,SSA,0.9462271332740784,vinid/plip,0.1852893829345703,0.08849996328353882,0.10495036840438843,0.7291727364063263,0.7023895829916,0.7414886206388474,0,0,0,1,1,1,0.26239918619394303,0.27216315269470215,0.29346913695335386,0.11396345137933858,0.11355476721798151,0.11695883681470055,0.42355120927095413,0.4223115086555481,0.4463698536157608,0.05,0.0,0.05,20,20,20,-0.07710980325937272,-0.18366318941116333,-0.18851876854896543,False,False,False
MHIST_aar.png,surface epithelium,A4|B4|C4,HP,0,7,unanimous,SSA,0.9462271332740784,vinid/plip,0.22041863203048706,0.285396933555603,0.23021560907363892,0.3125290274620056,0.29647916555404663,0.4251067638397217,0,0,0,0,0,0,0.2770296514034271,0.19678342044353486,0.2704866975545883,0.08139363271491422,0.07508540539178771,0.09668718152862409,0.40924940109252933,0.296727141737938,0.4136721104383469,0.0,0.0,0.05,20,20,20,-0.05661101937294005,0.08861351311206817,-0.0402710884809494,False,False,False
MHIST_aay.png,crypt/gland architecture,B2|B3|C3,HP,1,6,strong,SSA,0.8288406133651733,vinid/plip,0.39322420954704285,0.28328490257263184,0.2697324752807617,0.5185243785381317,0.5153724253177643,0.6835256963968277,1,0,0,1,1,1,0.39976142048835756,0.3963401518762112,0.4286312997341156,0.09032012793515762,0.11179209882134412,0.09159978619087325,0.5319378077983856,0.5802066691219807,0.5376701042056083,0.8,0.65,0.9,20,20,20,-0.006537210941314708,-0.11305524930357935,-0.1588988244533539,False,False,False
